Vehicle Type,Category,Subcategory,Item Name,Part Type,Compatible Brands,Spare Part Brand,OEM/Aftermarket,SKU Code,Unit,Estimated Price (INR),Supplier Type,Warranty (Months),Service Time (Min),Stock Status,Remarks
Car,Engine,Lubrication,Engine Oil,Consumable,Maruti,Bosch,Aftermarket,SKU-0001,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Maruti,Castrol,OEM,SKU-0002,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Maruti,Shell,Aftermarket,SKU-0003,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Maruti,Mobil,OEM,SKU-0004,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Maruti,Brembo,Aftermarket,SKU-0005,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Maruti,Bosch,OEM,SKU-0006,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Maruti,Castrol,Aftermarket,SKU-0007,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Maruti,Shell,OEM,SKU-0008,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Maruti,Mobil,Aftermarket,SKU-0009,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Maruti,Brembo,OEM,SKU-0010,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Maruti,Bosch,Aftermarket,SKU-0011,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Maruti,Castrol,OEM,SKU-0012,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Maruti,Shell,Aftermarket,SKU-0013,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Maruti,Mobil,OEM,SKU-0014,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Maruti,Brembo,Aftermarket,SKU-0015,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Maruti,Bosch,OEM,SKU-0016,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Maruti,Castrol,Aftermarket,SKU-0017,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Maruti,Shell,OEM,SKU-0018,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Maruti,Mobil,Aftermarket,SKU-0019,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Maruti,Brembo,OEM,SKU-0020,Piece,200,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Maruti,Bosch,Aftermarket,SKU-0021,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Maruti,Castrol,OEM,SKU-0022,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Maruti,Shell,Aftermarket,SKU-0023,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Maruti,Mobil,OEM,SKU-0024,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Maruti,Brembo,Aftermarket,SKU-0025,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Maruti,Bosch,OEM,SKU-0026,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Maruti,Castrol,Aftermarket,SKU-0027,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Maruti,Shell,OEM,SKU-0028,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Maruti,Mobil,Aftermarket,SKU-0029,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Maruti,Brembo,OEM,SKU-0030,Piece,4000,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Maruti,Bosch,Aftermarket,SKU-0031,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Maruti,Castrol,OEM,SKU-0032,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Maruti,Shell,Aftermarket,SKU-0033,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Maruti,Mobil,OEM,SKU-0034,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Maruti,Brembo,Aftermarket,SKU-0035,Piece,3500,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Maruti,Bosch,OEM,SKU-0036,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Maruti,Castrol,Aftermarket,SKU-0037,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Maruti,Shell,OEM,SKU-0038,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Maruti,Mobil,Aftermarket,SKU-0039,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Maruti,Brembo,OEM,SKU-0040,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Maruti,Bosch,Aftermarket,SKU-0041,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Maruti,Castrol,OEM,SKU-0042,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Maruti,Shell,Aftermarket,SKU-0043,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Maruti,Mobil,OEM,SKU-0044,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Maruti,Brembo,Aftermarket,SKU-0045,Piece,1500,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Maruti,Bosch,OEM,SKU-0046,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Maruti,Castrol,Aftermarket,SKU-0047,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Maruti,Shell,OEM,SKU-0048,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Maruti,Mobil,Aftermarket,SKU-0049,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Maruti,Brembo,OEM,SKU-0050,Piece,7000,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Maruti,Bosch,Aftermarket,SKU-0051,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Maruti,Castrol,OEM,SKU-0052,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Maruti,Shell,Aftermarket,SKU-0053,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Maruti,Mobil,OEM,SKU-0054,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Maruti,Brembo,Aftermarket,SKU-0055,Piece,3500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Maruti,Bosch,OEM,SKU-0056,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Maruti,Castrol,Aftermarket,SKU-0057,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Maruti,Shell,OEM,SKU-0058,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Maruti,Mobil,Aftermarket,SKU-0059,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Maruti,Brembo,OEM,SKU-0060,Piece,4500,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Maruti,Bosch,Aftermarket,SKU-0061,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Maruti,Castrol,OEM,SKU-0062,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Maruti,Shell,Aftermarket,SKU-0063,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Maruti,Mobil,OEM,SKU-0064,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Maruti,Brembo,Aftermarket,SKU-0065,Piece,1200,Distributor,6,30,In Stock,
Car,Interior,Seats,Seat Cover,Accessory,Maruti,Bosch,OEM,SKU-0066,Piece,2000,Distributor,6,30,In Stock,
Car,Interior,Seats,Seat Cover,Accessory,Maruti,Castrol,Aftermarket,SKU-0067,Piece,2000,Distributor,6,30,In Stock,
Car,Interior,Seats,Seat Cover,Accessory,Maruti,Shell,OEM,SKU-0068,Piece,2000,Distributor,6,30,In Stock,
Car,Interior,Seats,Seat Cover,Accessory,Maruti,Mobil,Aftermarket,SKU-0069,Piece,2000,Distributor,6,30,In Stock,
Car,Interior,Seats,Seat Cover,Accessory,Maruti,Brembo,OEM,SKU-0070,Piece,2000,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Hyundai,Bosch,Aftermarket,SKU-0071,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Hyundai,Castrol,OEM,SKU-0072,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Hyundai,Shell,Aftermarket,SKU-0073,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Hyundai,Mobil,OEM,SKU-0074,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Hyundai,Brembo,Aftermarket,SKU-0075,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Hyundai,Bosch,OEM,SKU-0076,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Hyundai,Castrol,Aftermarket,SKU-0077,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Hyundai,Shell,OEM,SKU-0078,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Hyundai,Mobil,Aftermarket,SKU-0079,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Hyundai,Brembo,OEM,SKU-0080,Piece,400,Distributor,6,30,In Stock,
